Sample_ID,Zeb_Count,Average_Length_mm,Macro_Count,Macro_per_Zeb,Macro_per_m,SA_Druse_mm,SA_Druse_m,Diptera,Amphipoda,Trichoptera,Ephemeroptera,Coleptera,Odonata,Plecoptera,Gastropoda,Platyhelminthes,Unionidae,Subseason_new,Subseason,Site_new,Site,Simpson,corr_diptera,corr_amphipoda,corr_trichoptera,corr_ephemeroptera,corr_coleptera,corr_odonata,corr_plecoptera,corr_gastropoda,corr_platyhelminthes,corr_unionidae,corr_simpson,corr_count,use_simp,zeb_presence
1,9,12.71111111,2,0.222222222,0,3962.625,0.003962625,1,1,0,0,0,0,0,0,0,0,May,1,Downstream Andrusia,5,1,126.1789849,126.1789849,0,0,0,0,0,0,0,0,0.505920477,253.3579698,0.505920477,1
2,101,11.35,13,0.128712871,0,3608.16,0.00360816,1,3,1,4,3,1,0,0,0,0,May,1,Downstream Andrusia,5,0.846153846,126.1789849,378.5369547,126.1789849,504.7159396,378.5369547,126.1789849,0,0,0,0,0.781766819,1641.172957,0.781766819,1
3,599,24.866,115,0.191986644,0,32554.81,0.03255481,19,75,13,2,2,0,0,4,0,0,May,1,Downstream Andrusia,5,0.537452326,2397.400713,9463.423867,1640.326804,252.3579698,252.3579698,0,0,504.7159396,0,0,0.532850154,14511.12071,0.532850154,1
4,48,12.08,9,0.1875,0,11873.93,0.01187393,2,5,0,0,2,0,0,0,0,0,May,1,Downstream Andrusia,5,0.666666667,252.3579698,630.8949245,0,0,252.3579698,0,0,0,0,0,0.593592398,1136.277531,0.593592398,1
5,16,16.66875,1,0.0625,0,12988.71,0.01298871,1,0,0,0,0,0,0,0,0,0,May,1,Downstream Andrusia,5,1,126.1789849,0,0,0,0,0,0,0,0,0,0.015725869,127.1789849,0.015725869,1
7,0,0,6,0,12,0,0,0,1,0,2,2,0,0,1,0,0,May,1,Uninfested,1,0.866666667,0,126.1789849,0,252.3579698,252.3579698,0,0,126.1789849,0,0,0.72381057,757.940576,0.866666667,0
8,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,May,1,Uninfested,1,1,0,126.1789849,0,0,0,0,0,0,0,0,1,127.1789849,1,0
9,0,0,7,0,14,0,0,3,0,2,1,0,0,0,1,0,0,May,1,Uninfested,1,0.80952381,378.5369547,0,252.3579698,126.1789849,0,0,0,126.1789849,0,0,0.695223279,884.062418,0.80952381,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,1,Uninfested,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11,197,14.44444444,49,0.248730964,0,38663.99,0.03866399,23,0,25,0,0,1,0,0,0,0,May,1,Downstream Stump,3,0.529761905,2902.116652,0,3154.474622,0,0,126.1789849,0,0,0,0,0.519116804,6183.300022,0.519116804,1
12,169,15.22,6,0.035502959,12,20443.11,0.02044311,1,2,1,0,0,0,0,1,0,1,May,1,Downstream Stump,3,0.933333333,126.1789849,252.3579698,126.1789849,0,0,0,0,126.1789849,0,126.1789849,0.779351218,758.0072427,0.779351218,1
13,107,16.15555556,3,0.028037383,0,14493.62,0.01449362,0,0,1,0,0,0,0,1,0,1,May,1,Downstream Stump,3,1,0,0,126.1789849,0,0,0,0,126.1789849,0,126.1789849,0.670179719,379.5369547,0.670179719,1
14,64,12.88333333,8,0.125,0,10449.66,0.01044966,2,0,6,0,0,0,0,0,0,0,May,1,Downstream Stump,3,0.428571429,252.3579698,0,757.0739093,0,0,0,0,0,0,0,0.375902182,1009.860451,0.375902182,1
15,93,20.86666667,8,0.086021505,0,20052.58,0.02005258,2,1,3,0,0,1,0,1,0,0,May,1,Downstream Stump,3,0.857142857,252.3579698,126.1789849,378.5369547,0,0,126.1789849,0,126.1789849,0,0,0.751166704,1010.289022,0.751166704,1
16,21,9.15,26,1.238095238,0,5262.9,0.0052629,12,3,1,0,0,1,8,0,0,1,May,1,Downstream Bemidji,2,0.701538462,1514.147819,378.5369547,126.1789849,0,0,126.1789849,1009.431879,0,0,126.1789849,0.674900967,3281.355146,0.674900967,1
17,4,7.3,6,1.5,0,376.54,0.00037654,3,0,2,0,0,0,0,1,0,0,May,1,Downstream Bemidji,2,0.733333333,378.5369547,0,252.3579698,0,0,0,0,126.1789849,0,0,0.612670607,757.8072427,0.612670607,1
18,6,11.28333333,5,0.833333333,0,2477.04,0.00247704,2,0,3,0,0,0,0,0,0,0,May,1,Downstream Bemidji,2,0.6,252.3579698,0,378.5369547,0,0,0,0,0,0,0,0.481749028,631.4949245,0.481749028,1
19,71,14.675,35,0.492957746,0,9477.09,0.00947709,17,4,9,2,2,0,0,1,0,0,May,1,Downstream Bemidji,2,0.697478992,2145.042743,504.7159396,1135.610864,252.3579698,252.3579698,0,0,126.1789849,0,0,0.677806267,4416.96195,0.677806267,1
